benefit_name,service_type,cost_sharing,prior_auth,limitations,important_notes,network_info,bid_id
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-022-000
Chiropractic,Chiropractic Service,No,Yes,None specified,None specified,None specified,H0523-022-000
Annual Routine Physical,Annual Routine Physical,No,Yes,None specified,None specified,None specified,H0523-022-000
Emergency Care,Emergency Care,No,Yes,None specified,None specified,None specified,H0523-022-000
Cardiac Rehab,Cardiac Rehabilitation,No,Yes,None specified,None specified,None specified,H0523-022-000
Hearing Services,Hearing Service,No,Yes,None specified,None specified,None specified,H0523-022-000
Ambulance,Ground Ambulance,$275,Yes,"For non-emergency situations, include fixed wing, rotary wing, and ground ambulance services, to the nearest appropriate facility.","Prior authorization is required for all non-emergency transportation, including fixed wing, rotary wing, and ground ambulance services.",,H0523-022-000
Ambulance,Air Ambulance,$275,Yes,"For non-emergency situations, include fixed wing, rotary wing, and ground ambulance services, to the nearest appropriate facility.","Prior authorization is required for all non-emergency transportation, including fixed wing, rotary wing, and ground ambulance services.",,H0523-022-000
Annual Routine Physical,Physical Exam,$0,Yes,You may schedule your annual routine physical once each calendar year.,"Note: Your first annual wellness visit can’t take place within 12 months of your Welcome to Medicare preventive visit. However, you don’t need to have had a Welcome to Medicare visit to be covered for annual wellness visits after you’ve had Part B for 12 months.",,H0523-022-000
Cardiac Rehab,Comprehensive Programs of Cardiac Rehabilitation Services,$0,Yes,Our plan also covers intensive cardiac rehabilitation programs that are typically more rigorous or more intense than cardiac rehabilitation programs.,"There is no coinsurance, copayment, or",,H0523-022-000
Cardiac Rehab,Intensive Cardiac Rehabilitation Service,$0,Yes,Our plan also covers intensive cardiac rehabilitation programs that are typically more rigorous or more intense than cardiac rehabilitation programs.,"There is no coinsurance, copayment, or",,H0523-022-000
Cardiovascular Disease Risk Reduction Visit (therapy for cardiovascular disease),Therapy,$0,Yes,"During this visit, your doctor may discuss aspirin use (if appropriate), check your blood pressure, and give you tips to make sure you’re eating healthy.","There is no coinsurance, copayment, or",,H0523-022-000
Cardiovascular Disease Screening Tests,Blood Tests,$0,Yes,Blood tests for the detection of cardiovascular disease (or testing that is covered once every 5 abnormalities associated with an elevated risk of cardiovascular years).,"There is no coinsurance, copayment, or",,H0523-022-000
Cervical and Vertebral Fracture Screening,Screening,$0,Yes,,,,H0523-022-000
Ambulance,Ground Ambulance,,Yes,,,,H0523-022-000
Chiropractic,Chiropractic visit,$20 copay for each Medicare-covered,Yes,Prior authorization may be required and is the responsibility of your provider.,,,H0523-022-000
Annual Routine Physical,Annual Routine Physical,,Yes,,,,H0523-022-000
Emergency Care,Emergency Care,,Yes,,,,H0523-022-000
Cardiac Rehab,Cardiac Rehab,,Yes,,,,H0523-022-000
Hearing Services,Hearing Services,,Yes,,,,H0523-022-000
Ambulance,Ground Ambulance,$150,Yes,Sharing is waived if you are admitted to the hospital within 24 hours.,,,H0523-022-000
Ambulance,Air Ambulance,$150,Yes,Sharing is waived if you are admitted to the hospital within 24 hours.,,,H0523-022-000
Chiropractic,N/A,$0,Yes,,,,H0523-022-000
Annual Routine Physical,N/A,$0,Yes,,,,H0523-022-000
Emergency Care,N/A,$275,Yes,Sharing is waived if you are admitted to the hospital within 24 hours.,,,H0523-022-000
Cardiac Rehab,N/A,$0,Yes,,,,H0523-022-000
Hearing Services,N/A,$0,Yes,,,,H0523-022-000
Ambulance,Ground Ambulance,$0 copay,Yes,None specified,None specified,None specified,H0523-022-000
Chiropractic,None specified,$0 copay,Yes,None specified,None specified,None specified,H0523-022-000
Annual Routine Physical,Physical Exam,$0 copay,Yes,Once per year,None specified,None specified,H0523-022-000
Emergency Care,Emergency Services,$0 copay,Yes,None specified,None specified,None specified,H0523-022-000
Cardiac Rehab,Physical Therapy,$0 copay,Yes,Once per year,None specified,None specified,H0523-022-000
Hearing Services,Diagnostic Hearing and Balance Evaluations,$0 copay,Yes,Once per year,None specified,NationsHearing® network provider,H0523-022-000
Home health agency care,"Physical Therapy, Occupational Therapy, and Speech Therapy",$0 copay,Yes,None specified,None specified,NationsHearing® network provider,H0523-022-000
Home infusion therapy,Intravenous or Subcutaneous Administration of Drugs or Biologicals,$0 copay,Yes,None specified,None specified,None specified,H0523-022-000
Hospice care,"Physical Therapy, Occupational Therapy, and Speech Therapy",$0 copay,Yes,Once per year,None specified,NationsHearing® network provider,H0523-022-000
Ambulance,Ground Ambulance,None,Yes,None,None,None,H0523-022-000
Chiropractic,None,None,Yes,None,None,None,H0523-022-000
Annual Routine Physical,Physical Exam,None,Yes,None,None,None,H0523-022-000
Emergency Care,Emergency Services,None,Yes,None,None,None,H0523-022-000
Cardiac Rehab,Physical Therapy,None,Yes,None,None,None,H0523-022-000
Hearing Services,Auditory Therapy,None,Yes,None,None,None,H0523-022-000
Ambulance,Ground Ambulance,No,Yes,None,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements,H0523-022-000
Ambulance,Air Ambulance,No,Yes,None,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements,H0523-022-000
Chiropractic,Chiropractic Care,No,Yes,None,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements,H0523-022-000
Annual Routine Physical,Annual Physical Examination,No,Yes,None,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements,H0523-022-000
Emergency Care,Emergency Services,No,Yes,None,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements,H0523-022-000
Cardiac Rehab,Cardiovascular Rehabilitation,No,Yes,None,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements,H0523-022-000
Hearing Services,Hearing Aids,No,Yes,None,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements,H0523-022-000
Ambulance,Ground Ambulance,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-022-000
Chiropractic,Chiropractic Care,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-022-000
Annual Routine Physical,Physical Examination,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-022-000
Emergency Care,Emergency Services,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-022-000
Cardiac Rehab,Cardiovascular Rehabilitation,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-022-000
Hearing Services,Hearing Tests,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-022-000
Ambulance,Ground Ambulance,$40,Yes,,,,H0523-022-000
Chiropractic,Individual Session,$40,Yes,,,,H0523-022-000
Annual Routine Physical,Outpatient Mental Health Service,$0,No,,,,H0523-022-000
Emergency Care,Outpatient Mental Health Service,$40,Yes,,,,H0523-022-000
Cardiac Rehab,Individual Session,$0,No,,,,H0523-022-000
Hearing Services,Individual Session,$40,Yes,,,,H0523-022-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-022-000
Chiropractic,Chiropractic Care,No,Yes,None specified,None specified,None specified,H0523-022-000
Annual Routine Physical,Physical Examination,No,Yes,None specified,None specified,None specified,H0523-022-000
Emergency Care,Emergency Services,No,Yes,None specified,None specified,None specified,H0523-022-000
Cardiac Rehab,Cardiovascular Rehabilitation,No,Yes,None specified,None specified,None specified,H0523-022-000
Hearing Services,Hearing Tests,No,Yes,None specified,None specified,None specified,H0523-022-000
